MPN	SE_MAN_NAME	MFG	CS_STATUS	SCRUB_STATUS	SCRUBBING_STANDARD_COMMENT	SCRUB_URL_COMMENT_ONLINE	SCRUB_URL_COMMENT_FILE_PATH	SCRUB_DS	SCRUB_DS_FILE_PATH	PRODUCT_URL PAGE	TAX_PATH	SE_PART	SE_SUPPLIER	SCRUBBING_ADDITIONAL_COMMENT	CUSTOMER_DESCRIPTION	SCRUB_DS_SOURCE	SCRUB_DS_FILE_TYPE	SCRUB_URL_COMMENT_SOURCE	SCRUB_URL_COMMENT_FILE_TYPE	SOURCING_TASKS_NAME	TRIGGER_Name	SCRUBBING_TASK
(MMBT2907A)	Texas Instruments	NATIONAL	Direct Match Corrected supplier	Direct Match Corrected supplier								MMBT2907A	Diodes Incorporated	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MMBT3904)	Texas Instruments	NATIONAL	Direct Match Corrected supplier	Direct Match Corrected supplier								MMBT3904	Infineon Technologies AG	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MMBT3906)	Allegro MicroSystems	ALLEGRO MICROSYSTEMS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MMBZ5232B)	Texas Instruments	NATIONAL	Direct Match Corrected supplier	Direct Match Corrected supplier								MMBZ5232B	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MMBZ5235B)	Texas Instruments	NATIONAL	Direct Match Corrected supplier	Direct Match Corrected supplier								MMBZ5235B	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MP5010JT)	MicroPower Direct	MICRO POWER	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MP5010KT)	MicroPower Direct	MICRO POWER	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MP5010LN)	MicroPower Direct	MICRO POWER	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MP5010LT)	MicroPower Direct	MICRO POWER	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MPS5172)	Texas Instruments	NATIONAL	Direct Match Corrected supplier	Direct Match Corrected supplier								MPS5172	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MPS5172)	ROHM Semiconductor	ROHM	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MPS5172)	NXP Semiconductors	PHILIPS	Direct Match Corrected supplier	Direct Match Corrected supplier								MPS5172	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MPS5172)	"L3Harris Technologies, Inc"	HARRIS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
